,Date,Time,Volume,Density,Person_0,Person_1,Person_10,Person_11,Person_12,Person_13,Person_14,Person_15,Person_16,Person_17,Person_18,Person_19,Person_2,Person_3,Person_4,Person_5,Person_6,Person_7,Person_8,Person_9,Anomaly Probability
144,5/01/2015,6:00:00,552,9.367275642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,5/01/2015,6:15:00,696,11.23942787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,5/01/2015,6:30:00,768,12.88934689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,5/01/2015,6:45:00,816,13.63469313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,5/01/2015,7:00:00,768,12.96478784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,5/01/2015,7:15:00,888,14.88188019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,5/01/2015,7:30:00,744,12.682874,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0.25
151,5/01/2015,7:45:00,888,14.96021618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,5/01/2015,8:00:00,1008,18.02797983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,5/01/2015,8:15:00,852,15.45509819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,5/01/2015,8:30:00,840,14.99778644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,5/01/2015,8:45:00,828,14.31194536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,5/01/2015,9:00:00,828,16.67441103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,5/01/2015,9:15:00,804,15.32923368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,5/01/2015,9:30:00,816,14.94904193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,5/01/2015,9:45:00,864,25.19025093,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
160,5/01/2015,10:00:00,912,19.52011793,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.05
161,5/01/2015,10:15:00,720,13.99620058,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0.2
162,5/01/2015,10:30:00,888,16.12877469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,5/01/2015,10:45:00,912,17.59101888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,5/01/2015,11:00:00,900,17.71604953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,5/01/2015,11:15:00,912,16.61974321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,5/01/2015,11:30:00,924,18.69285166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,5/01/2015,11:45:00,888,17.02014464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,5/01/2015,12:00:00,876,15.73854968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,5/01/2015,12:15:00,984,18.5752063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,5/01/2015,12:30:00,936,17.08260894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,5/01/2015,12:45:00,984,18.40431355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,5/01/2015,13:00:00,996,18.37073554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,5/01/2015,13:15:00,1020,17.83475012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,5/01/2015,13:30:00,1152,23.19927244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,5/01/2015,13:45:00,1152,20.99273213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,5/01/2015,14:00:00,1308,29.07837773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,5/01/2015,14:15:00,1380,32.29584096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,5/01/2015,14:30:00,1392,27.95414808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,5/01/2015,14:45:00,1500,40.5477237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,5/01/2015,15:00:00,1308,29.36201073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,5/01/2015,15:15:00,1464,35.77369246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,5/01/2015,15:30:00,1464,37.58327337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,5/01/2015,15:45:00,1548,38.58189908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,5/01/2015,16:00:00,1548,39.87723361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,5/01/2015,16:15:00,1464,34.6275507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,5/01/2015,16:30:00,1320,32.33097976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,5/01/2015,16:45:00,1404,36.33201298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,5/01/2015,17:00:00,1392,37.5103784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,5/01/2015,17:15:00,1320,38.30699493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,5/01/2015,17:30:00,1008,25.83565297,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0.65
191,5/01/2015,17:45:00,1116,26.39390716,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
